Category Name,Timestamp,Confidence
scrofa,1290210.4024665998,0.97
scrofa,1290210.4024665998,0.59
scrofa,1290210.4357999,0.98
scrofa,1290210.4357999,0.57
scrofa,1290210.5691333,0.98
scrofa,1290210.5691333,0.64
scrofa,1290210.8024666,0.98
scrofa,1290210.8024666,0.58
scrofa,1290210.8357999,0.98
scrofa,1290210.8357999,0.62
scrofa,1290210.9691333,0.98
scrofa,1290210.9691333,0.62
scrofa,1290211.1024666,0.98
scrofa,1290211.1024666,0.62
scrofa,1290211.2357999,0.97
scrofa,1290211.2357999,0.61
scrofa,1290211.3691333001,0.98
scrofa,1290211.3691333001,0.55
scrofa,1290211.4024665998,0.97
scrofa,1290211.4024665998,0.6
scrofa,1290211.6357999002,0.97
scrofa,1290211.6357999002,0.56
scrofa,1290211.6691333,0.96
scrofa,1290211.6691333,0.58
scrofa,1290211.8024666,0.94
scrofa,1290211.8024666,0.56
scrofa,1290211.9357999,0.92
scrofa,1290211.9357999,0.53
scrofa,1290212.0691333,0.92
scrofa,1290212.0691333,0.55
scrofa,1290212.1024666,0.9
scrofa,1290212.1024666,0.58
scrofa,1290212.2357999,0.89
scrofa,1290212.2357999,0.56
scrofa,1290212.3691333001,0.88
scrofa,1290212.3691333001,0.5
scrofa,1290212.4024665998,0.88
scrofa,1290212.4024665998,0.57
scrofa,1290212.5357999,0.92
scrofa,1290212.5357999,0.51
scrofa,1290212.6691333,0.92
scrofa,1290212.6691333,0.52
scrofa,1290212.8024666,0.94
scrofa,1290212.8024666,0.56
scrofa,1290212.9357999,0.95
scrofa,1290212.9357999,0.57
scrofa,1290212.9691333,0.94
scrofa,1290212.9691333,0.65
scrofa,1290213.1024666,0.94
scrofa,1290213.1024666,0.63
scrofa,1290213.2357999,0.99
scrofa,1290213.2357999,0.61
scrofa,1290213.3691333001,0.99
scrofa,1290213.4024665998,1.0
scrofa,1290213.4024665998,0.57
scrofa,1290213.5357999,0.99
scrofa,1290213.6691333,0.99
scrofa,1290213.6691333,0.6
scrofa,1290213.8024666,1.0
scrofa,1290213.8024666,0.59
scrofa,1290213.8357999,1.0
scrofa,1290213.8357999,0.66
scrofa,1290213.9691333,1.0
scrofa,1290213.9691333,0.65
scrofa,1290214.1024666,0.99
scrofa,1290214.1024666,0.63
scrofa,1290214.2357999,0.98
scrofa,1290214.2357999,0.65
scrofa,1290214.2691333,0.97
scrofa,1290214.2691333,0.59
scrofa,1290214.4024665998,0.97
scrofa,1290214.4024665998,0.63
scrofa,1290214.5357999,0.98
scrofa,1290214.5357999,0.65
scrofa,1290214.6691333,0.98
scrofa,1290214.6691333,0.66
scrofa,1290214.7024665999,0.99
scrofa,1290214.7024665999,0.64
scrofa,1290214.8357999,0.99
scrofa,1290214.8357999,0.68
scrofa,1290214.9691333,0.99
scrofa,1290214.9691333,0.63
scrofa,1290215.1024666,0.99
scrofa,1290215.1024666,0.64
scrofa,1290215.1357999002,0.99
scrofa,1290215.1357999002,0.66
scrofa,1290215.2691333,0.99
scrofa,1290215.2691333,0.64
scrofa,1290215.4024665998,0.98
scrofa,1290215.4024665998,0.59
scrofa,1290215.5357999,0.97
scrofa,1290215.5357999,0.64
scrofa,1290215.5691333,0.97
scrofa,1290215.5691333,0.64
scrofa,1290215.7024665999,0.97
scrofa,1290215.7024665999,0.65
scrofa,1290215.8357999,0.98
scrofa,1290215.8357999,0.63
scrofa,1290215.9691333,0.98
scrofa,1290215.9691333,0.64
scrofa,1290216.0024666,0.98
scrofa,1290216.0024666,0.67
scrofa,1290216.1357999002,0.98
scrofa,1290216.1357999002,0.61
scrofa,1290216.2691333,0.98
scrofa,1290216.2691333,0.66
scrofa,1290216.4024665998,0.97
scrofa,1290216.4024665998,0.66
scrofa,1290216.4357999,0.97
scrofa,1290216.4357999,0.65
scrofa,1290216.5691333,0.97
scrofa,1290216.5691333,0.64
scrofa,1290216.7024665999,0.98
scrofa,1290216.7024665999,0.61
scrofa,1290216.8357999,0.98
scrofa,1290216.8357999,0.65
scrofa,1290216.8691333001,0.98
scrofa,1290216.8691333001,0.66
scrofa,1290217.0024666,0.97
scrofa,1290217.0024666,0.63
scrofa,1290217.1357999002,0.97
scrofa,1290217.1357999002,0.64
scrofa,1290217.2691333,0.96
scrofa,1290217.2691333,0.66
scrofa,1290217.4024665998,0.96
scrofa,1290217.4024665998,0.64
scrofa,1290217.4357999,0.96
scrofa,1290217.4357999,0.64
scrofa,1290217.5691333,0.96
scrofa,1290217.5691333,0.64
scrofa,1290217.7024665999,0.95
scrofa,1290217.7024665999,0.68
scrofa,1290217.8357999,0.94
scrofa,1290217.8357999,0.68
scrofa,1290217.9691333,0.96
scrofa,1290217.9691333,0.67
scrofa,1290218.0024666,0.95
scrofa,1290218.0024666,0.64
scrofa,1290218.1357999002,0.97
scrofa,1290218.1357999002,0.64
scrofa,1290218.2691333,0.97
scrofa,1290218.2691333,0.65
scrofa,1290218.4024665998,0.96
scrofa,1290218.4024665998,0.62
scrofa,1290218.4357999,0.96
scrofa,1290218.4357999,0.66
scrofa,1290218.6691333,0.96
scrofa,1290218.6691333,0.66
scrofa,1290218.7024665999,0.96
scrofa,1290218.7024665999,0.62
scrofa,1290218.8357999,0.98
scrofa,1290218.8357999,0.62
scrofa,1290218.9691333,0.97
scrofa,1290218.9691333,0.66
scrofa,1290219.0024666,0.97
scrofa,1290219.0024666,0.66
scrofa,1290219.1357999002,0.97
scrofa,1290219.1357999002,0.66
scrofa,1290219.2691333,0.98
scrofa,1290219.2691333,0.63
scrofa,1290219.4024665998,0.98
scrofa,1290219.4024665998,0.61
scrofa,1290219.4357999,0.97
scrofa,1290219.4357999,0.68
scrofa,1290219.5691333,0.98
scrofa,1290219.5691333,0.6
scrofa,1290219.7024665999,0.97
scrofa,1290219.7024665999,0.59
scrofa,1290219.8357999,0.97
scrofa,1290219.8357999,0.62
scrofa,1290219.9691333,0.96
scrofa,1290219.9691333,0.62
scrofa,1290220.0024666,0.96
scrofa,1290220.0024666,0.64
scrofa,1290220.1357999002,0.96
scrofa,1290220.1357999002,0.62
